show_flag,page,title,type,organization,venue,start_date,end_date,notes,url,url_2,,,
TRUE,Writing,How to make data visualization your friend,Best Practices,The Grade,,2022,,,https://kappanonline.org/petrin-hot-viz-summer-russo/,,,,
TRUE,Writing,Small teams & solo work: Using a QA process to build confidence in your data stories,Best Practices,Source,,2022,,,https://source.opennews.org/articles/qa-process-confidence-data-stories/,,,,
TRUE,Writing,How we turned an elementary school curriculum challenge into a dataset,Documentation,Chalkbeat,,2022,,,https://dataviz.chalkbeat.org/2022/05/23/crt.html,,,,
TRUE,Writing,"Out, damned spot: How to use ImageMagick to reduce OCR errors from redaction",Documentation,Chalkbeat,,2022,,,https://dataviz.chalkbeat.org/2022/01/28/ocr.html,,,,
TRUE,Writing,How we collaborated across teams to create a COVID-19 protocol flowchart,Documentation,Chalkbeat,,2022,,,https://dataviz.chalkbeat.org/2022/02/18/flowchart.html,,,,
FALSE,Interviews,,,Assigned Media,,,,,,,,,
FALSE,Interviews,"Slamming McMahon, how to be more curious than furious, & the Joe Rogan of education: Best Education Journalism of the Week",Education Journalism,The Grade,,11/22/2024,,,https://kappanonline.org/russo-slamming-mcmahon-how-to-be-more-curious-than-furious-amp-the-joe-rogan-of-education-best-education-journalism-of-the-week-11-22-24/,,,,
TRUE,Interviews,NYC high school surveys: Disparities in student stress and support,Data Journalism,Ethical Schools,,11/1/2024,,,https://ethicalschools.org/2024/11/nyc-high-school-surveys-disparities-in-student-stress-and-support/,,,,
FALSE,Interviews,Class read NYC gender imbalance story,Data Journalism,CUNY Data Journalism,,9/15/2024,,,,,,,
FALSE,Interviews,Class recreated Votebeat federal-only voters analysis,Data Journalism,U of Maryland Data Journalism,,2024,,,,,,,
TRUE,Interviews,Data for Change,Data Journalism,The Data Journalism Podcast,,10/15/2024,,,https://podcasters.spotify.com/pod/show/ddjpodcast/episodes/Kae-Petrin-data-for-change-e2pngsf/a-abj4b7s,,,,
TRUE,Interviews,#ASJACon24 Day 3 Recap: Who Tells Your Story?,Data Journalism,ASJA Virtual Convention,,9/27/2024,,,https://www.asja.org/conference-day-3-recap/,,,,
FALSE,Interviews,,LGBTQ+ Issues,WGBH,,8/5/2024,,,https://www.wgbh.org/news/local/2024-08-05/after-backlash-boston-globe-apologizes-for-headline-error-about-algerian-boxer,,,,
TRUE,Interviews,The Mainstream Media Is Failing Trans People. These Journalists Are Fighting Back.,LGBTQ+ Issues,The Nation,,2/22/2024,,,https://www.thenation.com/article/society/trans-journalists-independent-reporting/,,,,
